Brand,Store Number,Name,Ownership Type,Facility ID,Features - Products,Features - Service,Features - Stations,Food Region,Venue Type,Phone Number,Location,Street Address,Street Line 1,Street Line 2,City,State,Zip,Country,Coordinates,Latitude,Longitude,Insert Date
Starbucks,72949,Farm Fresh-Elizabeth City #469,Licensed,15736,,,,9999,Unknown,252-331-1368,"691 S Hughes Blvd
Elizabeth City, NC 27909-4530
(36.290986, -76.25259)",691 S Hughes Blvd,691 S Hughes Blvd,,Elizabeth City,NC,27909-4530,US,"(36.290986, -76.25259)",36.290986,-76.25259,06/22/2012 06:31:38 PM
Starbucks,9272,Roanoke Rapids,Company Owned,14789,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,252-533-5900,"298 Premier Blvd.
Roanoke Rapids, NC 27870-5076
(36.4324, -77.6388)",298 Premier Blvd.,298 Premier Blvd.,,Roanoke Rapids,NC,27870-5076,US,"(36.4324, -77.6388)",36.4324,-77.6388,06/22/2012 06:31:38 PM
Starbucks,13258,Kitty Hawk,Company Owned,10765,Oven-warmed Food,Starbucks Card Mobile,,9999,Unknown,252-255-0790,"5597-A North Croatan Highway
Kitty Hawk, NC 27949-4090
(36.098345, -75.724577)",5597-A North Croatan Highway,5597-A North Croatan Highway,,Kitty Hawk,NC,27949-4090,US,"(36.098345, -75.724577)",36.098345,-75.724577,06/22/2012 06:31:38 PM
Starbucks,76569,Target Rocky Mount T-962,Licensed,10147,,Starbucks Card Mobile,,9999,Unknown,252-443-1195,"731 Sutters Creek Blvd
Rocky Mount, NC 27804-8452
(35.97197, -77.813097)",731 Sutters Creek Blvd,731 Sutters Creek Blvd,,Rocky Mount,NC,27804-8452,US,"(35.97197, -77.813097)",35.97197,-77.813097,06/22/2012 06:31:47 PM
Starbucks,76100,Super Target Wake Forest ST-1504,Licensed,12631,,Starbucks Card Mobile,,9999,Unknown,919-761-1001,"12000 Retail Dr
Wake Forest, NC 27587-7353
(35.974413, -78.541991)",12000 Retail Dr,12000 Retail Dr,,Wake Forest,NC,27587-7353,US,"(35.974413, -78.541991)",35.974413,-78.541991,06/22/2012 06:31:47 PM
Starbucks,2970,Wakefield Commons,Company Owned,16246,Oven-warmed Food,"Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,919-453-1010,"10760 Wakefield Commons Dr., Ste. 109
Raleigh, NC 27614-8437
(35.942808, -78.540942)","10760 Wakefield Commons Dr., Ste. 109",10760 Wakefield Commons Dr.,Ste. 109,Raleigh,NC,27614-8437,US,"(35.942808, -78.540942)",35.942808,-78.540942,06/22/2012 06:31:49 PM
Starbucks,8495,Village @ Falls Pointe,Company Owned,15406,"Oven-warmed Food, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,919-847-1363,"9630 Falls of the Neuse Road, 101
Raleigh, NC 27615-2434
(35.904805, -78.601879)","9630 Falls of the Neuse Road, 101",9630 Falls of the Neuse Road,101,Raleigh,NC,27615-2434,US,"(35.904805, -78.601879)",35.904805,-78.601879,06/22/2012 06:31:49 PM
Starbucks,13656,Guess Road,Company Owned,18342,Oven-warmed Food,Starbucks Card Mobile,Drive-Through,9999,Unknown,919-471-2957,"3801 Guess Road
Durham, NC 27705-1505
(36.05782, -78.929413)",3801 Guess Road,3801 Guess Road,,Durham,NC,27705-1505,US,"(36.05782, -78.929413)",36.05782,-78.929413,06/22/2012 06:31:49 PM
Starbucks,16019,Six Forks & Strickland,Company Owned,66396,Oven-warmed Food,Wireless Hotspot,Drive-Through,0,Unknown,919-845-4566,"9441 Strickland Road, Unit R06
Raleigh, NC 27615-1934
(35.900957, -78.652882)","9441 Strickland Road, Unit R06",9441 Strickland Road,Unit R06,Raleigh,NC,27615-1934,US,"(35.900957, -78.652882)",35.900957,-78.652882,06/22/2012 06:31:49 PM
Starbucks,76118,Super Target Raleigh ST-1826,Licensed,12802,,Starbucks Card Mobile,,9999,Unknown,919-790-1024,"7900 Old Wake Forest Rd
Raleigh, NC 27616-3319
(35.86614, -78.567968)",7900 Old Wake Forest Rd,7900 Old Wake Forest Rd,,Raleigh,NC,27616-3319,US,"(35.86614, -78.567968)",35.86614,-78.567968,06/22/2012 06:31:49 PM
Starbucks,8529,Triangle Towne Mall,Company Owned,15411,,Starbucks Card Mobile,,9999,Unknown,919-792-2227,"5959 Triangle Town Boulevard, Unit CL1136
Raleigh, NC 27616-3268
(35.87, -78.5861)","5959 Triangle Town Boulevard, Unit CL1136",5959 Triangle Town Boulevard,Unit CL1136,Raleigh,NC,27616-3268,US,"(35.87, -78.5861)",35.87,-78.5861,06/22/2012 06:31:49 PM
